first_name,last_name,email,city,rental_id,rental_date,return_date,payment_id,amount,rental_duration,full_name
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,76,2005-05-25 11:30:37,2005-06-03 12:00:37,1,2.99,9,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,573,2005-05-28 10:35:23,2005-06-03 06:32:23,2,0.99,6,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,1185,2005-06-15 00:54:12,2005-06-23 02:42:12,3,5.99,8,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,1422,2005-06-15 18:02:53,2005-06-19 15:54:53,4,0.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,1476,2005-06-15 21:08:46,2005-06-25 02:26:46,5,9.99,10,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,1725,2005-06-16 15:18:57,2005-06-17 21:05:57,6,4.99,1,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,2308,2005-06-18 08:41:48,2005-06-22 03:36:48,7,4.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,2363,2005-06-18 13:33:59,2005-06-19 17:40:59,8,0.99,1,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,3284,2005-06-21 06:24:45,2005-06-28 03:28:45,9,3.99,7,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,4526,2005-07-08 03:17:05,2005-07-14 01:19:05,10,5.99,6,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,4611,2005-07-08 07:33:56,2005-07-12 13:25:56,11,5.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,5244,2005-07-09 13:24:07,2005-07-14 14:01:07,12,4.99,5,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,5326,2005-07-09 16:38:01,2005-07-13 18:02:01,13,4.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,6163,2005-07-11 10:13:46,2005-07-19 13:15:46,14,7.99,8,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,7273,2005-07-27 11:31:22,2005-07-31 06:50:22,15,2.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,7841,2005-07-28 09:04:45,2005-07-30 12:37:45,16,4.99,2,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,8033,2005-07-28 16:18:23,2005-07-30 17:56:23,17,4.99,2,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,8074,2005-07-28 17:33:39,2005-07-29 20:17:39,18,0.99,1,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,8116,2005-07-28 19:20:07,2005-07-29 22:54:07,19,0.99,1,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,8326,2005-07-29 03:58:49,2005-08-01 05:16:49,20,2.99,3,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,9571,2005-07-31 02:42:18,2005-08-02 23:26:18,21,2.99,2,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,10437,2005-08-01 08:51:04,2005-08-10 12:12:04,22,4.99,9,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,11299,2005-08-02 15:36:52,2005-08-10 16:40:52,23,3.99,8,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,11367,2005-08-02 18:01:38,2005-08-04 13:19:38,24,0.99,2,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,11824,2005-08-17 12:37:54,2005-08-19 10:11:54,25,4.99,2,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,12250,2005-08-18 03:57:29,2005-08-22 23:05:29,26,0.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,13068,2005-08-19 09:55:16,2005-08-20 14:44:16,27,0.99,1,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,13176,2005-08-19 13:56:54,2005-08-23 08:50:54,28,2.99,4,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,14762,2005-08-21 23:33:57,2005-08-23 01:30:57,29,0.99,2,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,14825,2005-08-22 01:27:57,2005-08-27 07:01:57,30,1.99,5,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,15298,2005-08-22 19:41:37,2005-08-28 22:49:37,31,2.99,6,Mary Smith
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,15315,2005-08-22 20:03:46,2005-08-30 01:51:46,32,5.99,8,Mary Smith
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,320,2005-05-27 00:09:24,2005-05-28 04:30:24,33,4.99,1,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,2128,2005-06-17 20:54:58,2005-06-24 00:41:58,34,2.99,7,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,5636,2005-07-10 06:31:24,2005-07-13 02:36:24,35,2.99,3,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,5755,2005-07-10 12:38:56,2005-07-19 17:02:56,36,6.99,9,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,7346,2005-07-27 14:30:42,2005-08-02 16:48:42,37,4.99,6,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,7376,2005-07-27 15:23:02,2005-08-04 10:35:02,38,5.99,8,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,7459,2005-07-27 18:40:20,2005-08-02 21:07:20,39,5.99,6,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,8230,2005-07-29 00:12:59,2005-08-06 19:52:59,40,5.99,8,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,8598,2005-07-29 12:56:59,2005-08-01 08:39:59,41,2.99,3,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,8705,2005-07-29 17:14:29,2005-08-02 16:01:29,42,5.99,4,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,9031,2005-07-30 06:06:10,2005-08-04 10:45:10,43,4.99,5,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,9236,2005-07-30 13:47:43,2005-08-08 18:52:43,44,10.99,9,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,9248,2005-07-30 14:14:11,2005-08-05 11:19:11,45,0.99,6,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,9296,2005-07-30 16:21:13,2005-08-08 11:57:13,46,6.99,9,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,9465,2005-07-30 22:39:53,2005-08-06 16:43:53,47,6.99,7,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,10136,2005-07-31 21:58:56,2005-08-03 19:44:56,48,2.99,3,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,10466,2005-08-01 09:45:26,2005-08-06 06:28:26,49,0.99,5,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,10918,2005-08-02 02:10:56,2005-08-02 21:23:56,50,0.99,0,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,11087,2005-08-02 07:41:41,2005-08-10 10:37:41,51,5.99,8,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,11177,2005-08-02 10:43:48,2005-08-10 10:55:48,52,6.99,8,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,11256,2005-08-02 13:44:53,2005-08-04 16:39:53,53,2.99,2,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,11614,2005-08-17 03:52:18,2005-08-20 07:04:18,54,2.99,3,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,12963,2005-08-19 06:26:04,2005-08-23 11:37:04,55,2.99,4,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,14475,2005-08-21 13:24:32,2005-08-27 08:59:32,56,4.99,6,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,14743,2005-08-21 22:41:56,2005-08-29 00:18:56,57,5.99,8,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,15145,2005-08-22 13:53:04,2005-08-31 15:51:04,58,4.99,9,Patricia Johnson
Patricia,Johnson,patricia.johnson@sakilacustomer.org,San Bernardino,15907,2005-08-23 17:39:35,2005-08-25 23:23:35,59,4.99,2,Patricia Johnson
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,435,2005-05-27 17:17:09,2005-06-02 11:20:09,60,1.99,6,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,830,2005-05-29 22:43:55,2005-06-01 17:43:55,61,2.99,3,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,1546,2005-06-16 01:34:05,2005-06-24 04:27:05,62,8.99,8,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,1726,2005-06-16 15:19:10,2005-06-25 11:39:10,63,6.99,9,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,1911,2005-06-17 05:15:15,2005-06-24 11:05:15,64,6.99,7,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,2628,2005-06-19 08:34:53,2005-06-28 04:19:53,65,2.99,9,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,4180,2005-07-07 10:23:25,2005-07-10 13:18:25,66,4.99,3,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,4725,2005-07-08 12:47:11,2005-07-15 09:08:11,67,4.99,7,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,7096,2005-07-27 04:54:42,2005-08-03 01:42:42,68,5.99,7,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,7503,2005-07-27 20:23:12,2005-08-05 18:46:12,69,10.99,9,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,7703,2005-07-28 03:59:21,2005-08-05 08:52:21,70,7.99,8,Linda Williams
Linda,Williams,linda.williams@sakilacustomer.org,Athenai,7724,2005-07-28 04:46:30,2005-08-04 08:41:30,71,6.99,7,Linda Williams
